text,true_emotion,predicted_emotion
@LiamCannon1 He's just too raging to type properly... Ha ha!,anger,joy
@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger,anger
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger,anger
The rage has died down.,anger,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,anger
Eat my ass' is no longer an insult,anger,anger
"Realest ever, relentless ever, inevitable that I win.",anger,joy
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger,anger
Lol little things like that make me so angry x,anger,anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger,anger
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,anger
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger,anger
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger,anger
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,anger
@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger,anger
"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger,anger
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger,anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
Trying to book holiday flights on @britishairways website is becoming a ,fear,anger
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror,fear,fear
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,fear,anger
Southend players always haunt Man U,fear,anger
I don't want speak front to him   #nopanicattack,fear,fear
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot ,fear,anger
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear,fear
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,anger
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,fear,fear
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,fear,anger
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,fear,sadness
There goes the butterflies in my stomach. #nervous #anxietyproblems,fear,fear
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,fear,fear
"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",fear,fear
Having a terrific Tuesday? Crush it today with the Power of 4. Treat your internet like Pizza =D \n#PowerOf4,fear,joy
"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +",fear,fear
also i had an awful nightmare involving being sick where worms were involved i was so disgusted when i woke up,fear,sadness
@lukeshawtime terrible,fear,anger
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,sadness
"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA",fear,anger
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays,joy,joy
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
"Good #CX most often doesn't require all that much. #smile, #care, #relate and be #helpful. Thanks, Lakis Court Hotel in #cyprus",joy,joy
Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,joy,joy
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) #smile",joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,anger
@hesham786 that's the spirit ,joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch,joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy
So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,joy,joy
Sioux Valley wins home competitive #cheer invite with a score of 158. ...Dell Rapids second at 138,joy,joy
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,joy
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger
This shit hurting my heart 😪 that's how serious it is .,sadness,sadness
